Time,Intensity,Intensity_1
0.009801,16433821,-5307812
0.009812,10124565,-3223719
0.009823,5677168,-6717438
0.009834,3118744,2572432
0.009845,-1035205,3714004
0.009856,-10591704,-1873409
0.009867,-11440125,-2002803
0.009878,-13572100,8685374
0.009889,-11846286,9071786
0.0099,-3106846,7898119
0.009911,5363620,4997199
0.009922,19380806,-4466674
0.009933,13964837,-4689475
0.009944,21481804,-11629442
0.009955,11284344,-10906066
0.009966,1253796,-14832642
0.009977,-15946956,-7015258
0.009988,-21055746,5032893
0.009999,-23212428,12711825
0.01001,-20478828,13849943
0.010021,-5697619,16545459
0.010032,-562510,4334775
0.010043,5447774,-3668386
0.010054,20382592,-6276247
0.010065,15526286,-11076364
0.010076,3893535,-10318156
0.010087,4913594,-8068607
0.010098,-6324790,-1128087
0.010109,-4838037,9230938
0.01012,-12494938,11881024
0.010131,-5630617,13922479
0.010142,-4068753,9305812
0.010153,-2933204,4842185
0.010164,4878664,-2117232
0.010175,-3847496,-18572208
0.010186,-3928971,-14306527
0.010197,1234206,-6440790
0.010208,979145,215189
0.010219,226082,670502
0.01023,1684400,9253722
0.010241,7517133,13585117
0.010252,11916398,7175188
0.010263,10556037,-2406104
0.010274,3086370,3224636
0.010285,-7141492,-4394268
0.010296,-10876492,-11482020
0.010307,-10866615,-5333132
0.010318,-24292044,-13691539
0.010329,-6600894,-5539766
0.01034,-2577906,2311402
0.010351,7171952,7806349
0.010362,11036286,6492472
0.010373,15407165,13365519
0.010384,13979129,238361
0.010395,11662339,626137
0.010406,-214251,-3676068
0.010417,-2086692,1473955
0.010428,-9685175,-11380823
0.010439,-9640511,-7569486
0.01045,-7479275,-11573280
0.010461,-16054162,-12614973
0.010472,-2057993,-5547158
0.010483,-8956737,692079
0.010494,3581945,2821780
0.010505,6925842,13788235
0.010516,6463690,16877088
0.010527,12646404,15366216
0.010538,6467401,4524090
0.010549,6010044,-1060167
0.01056,-1992166,-8665006
0.010571,-13016704,-18401392
0.010582,-13479000,-12444316
0.010593,-11429560,-12759432
0.010604,-13301483,-5289251
0.010615,-1514886,4525737
0.010626,-223801,13677974
0.010637,11108817,12097832
0.010648,11250504,14340207
0.010659,17413108,4880753
0.01067,9743161,7138808
0.010681,1087535,-150457
0.010692,-5362228,-2570675
0.010703,-10954411,-8838144
0.010714,-13729895,-5837196
0.010725,-13996300,-4237252
0.010736,-2247722,-7007859
0.010747,8449158,-4195302
0.010758,5689138,-3600769
0.010769,9285397,944263
0.01078,6012784,2574178
0.010791,-2122563,3124870
0.010802,-3215324,6398365
0.010813,-10611981,259714
0.010824,-13761411,13225312
0.010835,-6431502,11377348
0.010846,-10715674,1036299
0.010857,-414259,-1493168
0.010868,2589091,-11983746
0.010879,13880843,-16860056
0.01089,14309815,-14225503
0.010901,10471420,-17855118
0.010912,3679063,-9650172
0.010923,-3421072,1625440
0.010934,-11108684,10012764
0.010945,-10908292,17993188
0.010956,2260936,25341242
0.010967,-108855,23864314
0.010978,-4566498,7638461
0.010989,3467610,451032
0.011,624398,-9693017
0.011011,537524,-14904041
0.011022,2032583,-10972634
0.011033,7845870,-9034815
0.011044,5421950,-11492993
0.011055,4554814,-4938336
0.011066,2872025,1719010
0.011077,-545697,3903929
0.011088,-1928854,10524058
0.011099,-8935991,10389873
0.01111,-6455627,9841526
0.011121,-8595317,3481273
0.011132,2089797,5308454
0.011143,3406102,-3449516
0.011154,10651952,-6465205
0.011165,15355142,-6884655
0.011176,11566620,-15488235
0.011187,12168762,-21328674
0.011198,1381027,-11078247
0.011209,-5150764,-1657853
0.01122,-9482511,5432104
0.011231,-16872316,13987021
0.011242,-11450616,16082151
0.011253,-12793073,16371506
0.011264,596161,8482052
0.011275,10626492,-3931566
0.011286,11645318,-19620366
