Frequency,Intensity
20.441041,-1056.279785
20.439199,-1672.976196
20.437358,-1761.82251
20.435516,-823.218445
20.433674,74.074242
20.431833,-357.637756
20.429991,-1806.932251
20.42815,-3133.91626
20.426308,-3741.099609
20.424466,-3274.094971
20.422625,-1554.925781
20.420783,351.929901
20.418941,746.61554
20.4171,-343.115479
20.415258,-1191.949585
20.413416,-1102.050659
20.411575,-997.44751
20.409733,-1151.819946
20.407891,-800.490234
20.40605,-192.940643
20.404208,-350.396851
20.402367,-666.231689
20.400525,272.876373
20.398683,1420.707642
20.396842,377.524963
20.395,-1843.5177
20.393158,-1253.539307
20.391317,2647.569092
20.389475,4994.615723
20.387633,2400.690674
20.385792,-1991.244873
20.38395,-3289.811768
20.382108,-1658.469971
20.380267,-708.25946
20.378425,-1318.785889
20.376583,-1348.377563
20.374742,-527.653076
20.3729,-1076.942383
20.371059,-2967.558105
20.369217,-2888.277588
20.367375,249.744522
20.365534,2489.778076
20.363692,399.785797
20.36185,-3431.128418
20.360009,-4137.732422
20.358167,-1727.681396
20.356325,-177.217575
20.354484,-701.513245
20.352642,-917.969482
20.3508,-406.952911
20.348959,-1567.860962
20.347117,-3951.708984
20.345275,-3394.903809
20.343434,874.044434
20.341592,3536.09668
20.339751,979.189514
20.337909,-2853.802002
20.336067,-2670.460205
20.334226,-10.677156
20.332384,-134.723892
20.330542,-3349.585449
20.328701,-4964.529785
20.326859,-2952.99585
20.325017,-513.319763
20.323176,-418.714233
20.321334,-981.795471
20.319492,534.430237
20.317651,3102.665771
20.315809,3055.705566
20.313967,-583.86853
20.312126,-4153.161133
20.310284,-3833.190918
20.308443,-707.86322
20.306601,884.025391
20.304759,-407.330048
20.302918,-1492.726318
20.301076,-327.063141
20.299234,865.012817
20.297393,-94.124939
20.295551,-1350.712891
20.293709,-428.317566
20.291868,1362.683228
20.290026,1399.133667
20.288184,149.172852
20.286343,-356.18396
20.284501,-204.694305
20.282659,-456.528992
20.280818,-590.13678
20.278976,-254.108902
20.277135,-1085.359619
20.275293,-3572.548828
20.273451,-4767.719727
20.27161,-2505.987305
20.269768,727.379211
20.267926,1541.4104
20.266085,583.46228
20.264243,283.024841
20.262401,316.608429
20.26056,-955.541199
20.258718,-2700.232178
20.256876,-2875.780029
20.255035,-1795.646606
20.253193,-1506.050293
20.251351,-2698.291748
20.24951,-4185.583496
20.247668,-4373.59082
20.245827,-2365.222412
20.243985,883.17395
20.242143,2434.681396
20.240302,537.091248
20.23846,-2504.148438
20.236618,-3226.851563
20.234777,-1846.315674
20.232935,-1019.814941
20.231093,-1166.027222
20.229252,-923.658081
20.22741,-833.405701
20.225568,-2161.852051
20.223727,-3423.380127
20.221885,-2590.778076
20.220044,-1210.724976
20.218202,-1720.11792
20.21636,-2701.681396
